,sessionNo,startHour,startWeekday,duration,cCount,cMinPrice,cMaxPrice,cSumPrice,bCount,bMinPrice,bMaxPrice,bSumPrice,bStep,maxVal,customerScore,accountLifetime,payments,age,address,lastOrder,cMedPrice,bMedPrice,cInterval,bInterval,new_user,onlineStatus_ n,onlineStatus_ y,availability_ completely not orderable,availability_ completely orderable,availability_ desconhecida,availability_ mainly not determinable,availability_ mainly not orderable,availability_ mainly orderable,availability_ mixed,order_ y
22,23,6,5,26.997,1,6.99,6.99,6.99,1,6.99,6.99,6.99,2.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.14306151645207438,0.14306151645207438,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0
23,24,6,5,8484.409,44,4.99,19.99,205.6,5,6.0,12.99,40.93,1.0,1400.0,476.0,79.0,15.0,38.0,2.0,37.0,0.22308706909185655,0.1265383948691281,14.999999999999998,6.99,0,0,1,0,1,0,0,0,0,0,1
24,25,6,5,15.524000000000001,1,59.99,59.99,59.99,1,59.99,59.99,59.99,2.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.016669444907484583,0.016669444907484583,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0
25,26,6,5,5306.594,127,7.99,74.95,3673.21,11,14.99,49.99,299.86,1.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.033904614949057436,0.03464007778272014,66.96000000000001,35.0,0,0,1,0,1,0,0,0,0,0,1
26,27,6,5,8095.2919999999995,69,3.0,49.9,976.07,5,12.99,39.9,101.86,1.0,1800.0,513.0,223.0,10.0,38.0,2.0,151.0,0.07346773030129783,0.05196244847057193,46.9,26.909999999999997,0,0,0,0,0,1,0,0,0,0,0
27,28,6,5,660.6439999999999,23,14.99,33.99,617.77,3,24.99,29.99,84.97,5.0,600.0,427.0,141.0,8.0,31.0,2.0,109.0,0.03600626341512431,0.03443808524246052,19.0,5.0,0,0,1,0,1,0,0,0,0,0,1
28,29,6,5,1850.4489999999998,27,9.99,71.96,1400.63,2,9.99,69.0,78.99,1.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.01927876973360825,0.024523131710541747,61.96999999999999,69.0,0,0,1,0,1,0,0,0,0,0,0
29,30,6,5,492.582,11,19.99,44.99,255.91,2,27.99,29.99,57.98,1.0,300.0,383.0,1.0,0.0,39.0,2.0,36.0,0.041441234027857723,0.03466547813598772,25.000000000000004,2.0,0,0,1,0,1,0,0,0,0,0,1
30,31,6,5,174.076,8,6.0,49.95,205.89,1,24.99,24.99,24.99,1.0,1000.0,553.0,228.0,11.0,47.0,2.0,48.0,0.03885569964544174,0.040016006402561026,43.95,0.0,0,0,0,0,0,1,0,0,0,0,0
31,32,6,5,454.355,5,139.99,139.99,699.95,1,139.99,139.99,139.99,5.0,500.0,499.0,2.0,1.0,53.0,2.0,22.0,0.007143367383384527,0.007143367383384527,0.0,0.0,0,0,1,0,1,0,0,0,0,0,1
32,33,6,5,1671.3570000000002,10,10.0,20.0,160.0,3,15.0,20.0,55.0,1.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.06506024096385542,0.05517241379310345,10.0,5.0,0,0,0,0,0,1,0,0,0,0,0
33,34,6,5,11.677999999999999,1,6.99,6.99,6.99,1,6.99,6.99,6.99,2.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.14306151645207438,0.14306151645207438,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0
34,35,6,5,407.07800000000003,5,699.0,999.0,4095.0,1,699.0,699.0,699.0,1.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.001221001221001221,0.001430615164520744,300.0,0.0,0,0,0,0,0,1,0,0,0,0,0
35,36,6,5,1346.68,25,7.99,39.99,575.75,4,12.99,39.99,100.96,1.0,1000.0,70.0,120.0,1.0,34.0,2.0,425.0,0.04426442837316577,0.040908921863959245,32.0,27.0,0,0,1,0,1,0,0,0,0,0,1
36,37,6,5,420.19699999999995,11,5.0,24.99,146.92,11,5.0,24.99,146.92,1.0,4000.0,614.0,133.0,6.0,42.0,2.0,109.0,0.073307919921094,0.073307919921094,19.99,19.99,0,0,1,0,1,0,0,0,0,0,0
37,38,6,5,5.805,1,6.99,6.99,6.99,1,6.99,6.99,6.99,2.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.14306151645207438,0.14306151645207438,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0
38,39,6,5,1880.223,16,24.99,79.99,839.84,1,24.99,24.99,24.99,1.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.019051247856734614,0.040016006402561026,55.0,0.0,0,0,0,0,0,1,0,0,0,0,0
39,40,6,5,584.185,13,14.99,79.99,294.91,1,29.99,29.99,29.99,1.0,5000.0,535.0,220.0,14.0,68.0,1.0,12.0,0.044728902190089695,0.03334444814938312,65.0,0.0,0,0,1,0,0,1,0,0,0,0,0
40,41,6,5,3.483,1,49.99,49.99,49.99,1,49.99,49.99,49.99,1.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.020004000800160033,0.020004000800160033,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0
41,42,6,5,643.775,20,3.99,29.95,340.71,2,3.99,19.99,23.98,1.0,5000.0,532.0,192.0,30.0,37.0,2.0,14.0,0.05882673772624919,0.07614489285325791,25.96,15.999999999999998,0,0,1,0,1,0,0,0,0,0,1
42,43,6,5,0.001,3,99.99,169.0,398.98,3,99.99,169.0,398.98,1.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.007905659134330324,0.007905659134330324,69.01,69.01,0,0,0,0,0,1,0,0,0,0,0
43,44,6,5,21.545,2,8.99,8.99,17.98,2,8.99,8.99,17.98,1.0,1700.0,522.0,223.0,17.0,42.0,2.0,52.0,0.11123470522803115,0.11123470522803115,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0
44,45,6,5,23.932,1,6.99,6.99,6.99,1,6.99,6.99,6.99,2.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.14306151645207438,0.14306151645207438,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0
45,46,6,5,704.8889999999999,13,9.99,27.96,245.67,2,9.99,25.95,35.94,1.0,600.0,562.0,74.0,8.0,34.0,2.0,371.0,0.05465523375424738,0.05714093643911129,17.97,15.959999999999999,0,0,1,0,1,0,0,0,0,0,1
46,47,6,5,24.326999999999998,1,12.99,12.99,12.99,1,12.99,12.99,12.99,1.0,600.0,512.0,36.0,7.0,35.0,2.0,59.0,0.07698229407236336,0.07698229407236336,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0
47,48,6,5,388.157,4,15.99,15.99,63.96,1,15.99,15.99,15.99,1.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.06253908692933083,0.06253908692933083,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0
48,49,6,5,40.538000000000004,2,199.99,299.99,499.98,1,299.99,299.99,299.99,2.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.004000160006400256,0.0033334444481482716,100.0,0.0,0,0,1,0,1,0,0,0,0,0,0
49,50,6,5,122.89399999999999,1,59.99,59.99,59.99,1,59.99,59.99,59.99,1.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.016669444907484583,0.016669444907484583,0.0,0.0,0,0,1,0,1,0,0,0,0,0,1
50,51,6,5,0.0,3,99.99,169.0,398.98,3,99.99,169.0,398.98,1.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.007168715724577942,0.007168715724577942,69.01,69.01,0,0,0,0,0,1,0,0,0,0,0
51,52,6,5,54.403,3,4.99,4.99,9.98,1,4.99,4.99,4.99,5.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.3006012024048096,0.20040080160320636,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0
52,53,6,5,1503.934,26,6.99,31.96,323.83,2,14.99,29.99,44.98,1.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.08059480417640824,0.04617515776512237,24.97,14.999999999999998,0,0,1,0,1,0,0,0,0,0,1
53,54,6,5,56.083,1,49.99,49.99,49.99,0,0.0,0.0,0.0,1.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.020004000800160033,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0
54,55,6,5,46.495,9,5.0,5.0,45.0,3,5.0,5.0,15.0,1.0,20000.0,531.0,183.0,722.0,54.0,1.0,10.0,0.2,0.2,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0
55,56,6,5,443.27,12,29.99,39.99,337.92,1,34.0,34.0,34.0,1.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.03551136363636363,0.029411764705882353,10.000000000000004,0.0,0,0,0,0,0,1,0,0,0,0,0
56,57,6,5,247.071,1,47.99,47.99,47.99,1,47.99,47.99,47.99,1.0,1300.0,567.0,220.0,3.0,55.0,2.0,101.0,0.020837674515524065,0.020837674515524065,0.0,0.0,0,0,1,0,1,0,0,0,0,0,1
57,58,6,5,2230.275,46,24.99,79.95,1643.53,6,24.99,71.96,261.91,1.0,200.0,70.0,92.0,1.0,43.0,2.0,493.0,0.028474668745516612,0.023689796330924346,54.96000000000001,46.97,0,0,1,0,0,1,0,0,0,0,0
58,59,6,5,0.0,3,99.99,169.0,398.98,3,99.99,169.0,398.98,1.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.0072467268950190825,0.0072467268950190825,69.01,69.01,0,0,0,0,0,1,0,0,0,0,0
59,60,6,5,997.691,29,9.99,44.99,581.76,2,14.99,19.99,34.98,1.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.05003366627012325,0.05781117979276917,35.0,4.999999999999998,0,0,1,0,1,0,0,0,0,0,1
60,61,6,5,135.605,1,59.99,59.99,59.99,1,59.99,59.99,59.99,1.0,2200.0,80.0,203.0,2.0,48.0,2.0,43.0,0.016669444907484583,0.016669444907484583,0.0,0.0,0,0,1,0,1,0,0,0,0,0,1
61,62,6,5,762.555,49,5.0,89.99,1182.55,8,6.99,29.99,174.92,1.0,3100.0,534.0,152.0,15.0,54.0,2.0,12.0,0.0418090888491011,0.0435497919287719,84.99,23.0,0,0,0,0,0,1,0,0,0,0,0
62,63,6,5,1338.3270000000002,35,34.99,1049.99,12839.65,13,34.99,799.99,3984.87,1.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.002894829975567068,0.003155131277033944,1015.0,765.0,0,0,1,0,1,0,0,0,0,0,0
63,64,6,5,225.585,0,0.0,1.0,3.0,0,0.0,0.0,0.0,1.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,1
64,65,6,5,1198.805,7,9.99,59.99,184.93,7,9.99,59.99,184.93,1.0,5000.0,540.0,351.0,10.0,58.0,2.0,35.0,0.03819640226268211,0.03819640226268211,50.0,50.0,0,0,1,0,1,0,0,0,0,0,1
65,66,6,5,560.6759999999999,1,0.0,1.0,3.0,1,0.0,0.0,0.0,5.0,3000.0,570.0,224.0,7.0,51.0,2.0,212.0,inf,inf,0.0,0.0,0,0,1,0,1,0,0,0,0,0,1
66,67,6,5,33.475,1,6.99,6.99,6.99,1,6.99,6.99,6.99,1.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.14306151645207438,0.14306151645207438,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0
67,68,6,5,599.78,12,49.95,120.0,899.74,2,49.95,89.99,139.94,1.0,600.0,422.0,60.0,0.0,33.0,2.0,72.0,0.01295850847567445,0.013518263173547462,70.05,40.03999999999999,0,0,1,0,1,0,0,0,0,0,0
68,69,6,5,397.89599999999996,10,19.99,19.99,159.92,2,19.99,19.99,39.98,5.0,1400.0,520.0,209.0,2.0,44.0,2.0,220.0,0.06336501584125397,0.05002501250625313,0.0,0.0,0,0,1,0,1,0,0,0,0,0,1
69,70,6,5,646.988,17,19.99,34.99,175.93,0,0.0,0.0,0.0,5.0,8500.0,533.0,233.0,15.0,55.0,2.0,18.0,0.09662934121525607,0.0,15.000000000000004,0.0,0,0,1,0,1,0,0,0,0,0,0
70,71,6,5,239.61599999999999,4,39.99,39.99,79.98,1,39.99,39.99,39.99,1.0,300.0,577.0,3.0,2.0,40.0,1.0,16.0,0.05001250312578145,0.025006251562890724,0.0,0.0,0,0,1,0,1,0,0,0,0,0,1
71,72,6,5,95.87899999999999,1,49.99,49.99,49.99,1,49.99,49.99,49.99,5.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.020004000800160033,0.020004000800160033,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0
72,73,6,5,1122.445,39,19.99,59.99,1045.65,5,19.99,29.99,126.95,3.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.03912297154880169,0.03998463335659236,40.0,10.0,0,0,1,0,1,0,0,0,0,0,0
73,74,6,5,50.181000000000004,0,0.0,1.0,3.0,0,0.0,0.0,0.0,1.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,1
74,75,6,5,5.388,1,6.99,6.99,6.99,1,6.99,6.99,6.99,2.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.14306151645207438,0.14306151645207438,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0
75,76,6,5,4047.27,36,2.99,5.99,104.69,4,2.99,2.99,11.96,5.0,900.0,493.0,174.0,13.0,35.0,2.0,10.0,0.3447555369828667,0.334448160535117,3.0,0.0,0,0,1,0,1,0,0,0,0,0,1
76,77,6,5,320.884,12,19.99,39.96,129.9,1,39.96,39.96,39.96,1.0,300.0,532.0,202.0,3.0,46.0,2.0,263.0,0.09237875288683603,0.025025025025025023,19.970000000000002,0.0,0,0,0,0,0,1,0,0,0,0,0
77,78,6,5,494.81,13,19.99,34.99,174.92,2,19.99,19.99,39.98,1.0,600.0,481.0,220.0,2.0,55.0,2.0,36.0,0.07659720810992482,0.05002501250625314,15.000000000000004,0.0,0,0,1,0,1,0,0,0,0,0,1
78,79,6,5,1992.71,17,12.99,549.99,876.83,5,12.99,29.99,98.95,1.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.017799456927207795,0.05301460311340305,537.0,17.0,0,0,1,0,1,0,0,0,0,0,0
79,80,6,5,80.485,0,0.0,1.0,3.0,0,0.0,0.0,0.0,1.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,1
80,81,6,5,821.6060000000001,12,4.95,49.95,424.72,2,4.95,39.99,44.94,1.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.027482909065924627,0.0385000385000385,45.0,35.04,0,0,1,0,1,0,0,0,0,0,0
81,82,6,5,4.609,2,599.99,599.99,599.99,2,599.99,599.99,599.99,1.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.005000083334722245,0.005000083334722245,599.99,599.99,0,0,0,0,0,1,0,0,0,0,0
82,83,6,5,10.837,1,6.99,6.99,6.99,1,6.99,6.99,6.99,2.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.14306151645207438,0.14306151645207438,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0
83,84,6,5,889.6469999999999,19,24.99,69.95,673.77,1,24.99,24.99,24.99,1.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.02819953396559657,0.040016006402561026,44.96000000000001,0.0,0,0,0,0,0,1,0,0,0,0,0
84,85,6,5,7032.935,29,39.99,369.99,3463.86,1,199.99,199.99,199.99,2.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.008372162847228236,0.005000250012500625,330.0,0.0,0,0,1,0,1,0,0,0,0,0,0
85,86,6,5,179.14700000000002,3,12.99,19.99,47.97,3,12.99,19.99,47.97,2.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.0612619971411068,0.0612619971411068,6.999999999999998,6.999999999999998,0,0,1,0,1,0,0,0,0,0,0
86,87,6,5,55.09,4,7.99,9.99,37.96,4,7.99,9.99,37.96,2.0,600.0,426.0,35.0,13.0,25.0,2.0,19.0,0.10304725452671867,0.10304725452671867,2.0,2.0,0,0,1,0,1,0,0,0,0,0,0
87,88,6,5,1699.785,21,8.0,39.99,554.21,4,8.0,34.9,102.88,1.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.04113379702340887,0.04411699827943707,31.990000000000002,26.9,0,0,0,0,0,1,0,0,0,0,0
88,89,6,5,8794.127,62,15.95,99.0,2691.78,4,49.0,99.0,307.98,4.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.023949614156174602,0.01369923727481879,83.05,50.0,0,0,1,0,1,0,0,0,0,0,1
89,90,6,5,4093.928,70,29.99,180.0,4928.13,6,49.99,150.0,449.83,5.0,3200.0,518.0,250.0,36.0,59.0,2.0,38.0,0.014138927889187297,0.012887599674332402,150.01,100.00999999999999,0,0,1,0,1,0,0,0,0,0,1
90,91,6,5,2396.554,4,35.99,48.99,133.97,1,48.99,48.99,48.99,5.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.029857430768082407,0.020412329046744233,13.0,0.0,0,0,1,0,1,0,0,0,0,0,1
91,92,6,5,3756.2,112,1.0,20.99,1132.95,13,3.0,20.0,134.99,1.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.13393114307110351,0.11833376949947091,19.99,17.0,0,0,1,0,0,0,0,0,1,0,0
92,93,6,5,0.0,3,99.99,169.0,398.98,3,99.99,169.0,398.98,1.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.007812906922235532,0.007812906922235532,69.01,69.01,0,0,0,0,0,1,0,0,0,0,0
93,94,6,5,222.05599999999998,0,0.0,1.0,3.0,0,0.0,0.0,0.0,5.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,1
94,95,6,5,174.06400000000002,0,0.0,1.0,3.0,0,0.0,0.0,0.0,5.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,1
95,96,6,5,204.74400000000003,2,19.99,35.99,55.98,2,19.99,35.99,55.98,5.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.03751406777541578,0.03751406777541578,35.99,35.99,0,0,1,0,1,0,0,0,0,0,1
96,97,6,5,888.5219999999999,11,19.99,59.99,419.91,1,59.99,59.99,59.99,1.0,600.0,70.0,30.0,0.0,72.0,1.0,527.0,0.026196089638255822,0.01666944490748458,40.0,0.0,0,0,1,0,1,0,0,0,0,0,1
97,98,6,5,6.854,2,3.0,3.0,6.0,1,3.0,3.0,3.0,1.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0
98,99,6,5,261.047,6,16.99,18.99,107.94,2,16.99,18.99,35.98,1.0,2300.0,527.0,51.0,15.0,29.0,2.0,11.0,0.05603137757144001,0.056031377571440014,2.0,2.0,0,0,1,0,0,1,0,0,0,0,0
99,100,6,5,88.557,1,49.99,49.99,49.99,1,49.99,49.99,49.99,5.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.020004000800160033,0.020004000800160033,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0
100,101,6,5,852.2739999999999,0,0.0,1.0,3.0,0,0.0,0.0,0.0,1.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,1
101,102,6,5,1269.888,26,9.95,59.95,543.66,2,19.99,19.99,39.98,1.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.045149356985770675,0.05002501250625313,50.0,0.0,0,0,1,0,0,0,0,0,0,1,0
102,103,6,5,747.693,21,3.0,29.99,232.85,2,5.0,9.99,14.99,1.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.0909702171419531,0.1200960768614892,26.99,4.99,0,0,0,0,0,1,0,0,0,0,0
103,104,6,5,81.935,3,24.99,24.99,74.97,1,24.99,24.99,24.99,1.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.040016006402561026,0.040016006402561026,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0
104,105,6,5,0.0,3,5.0,14.99,28.98,3,5.0,14.99,28.98,1.0,300.0,420.0,3.0,3.0,25.0,2.0,50.0,0.11117287381878822,0.11117287381878822,9.99,9.99,0,0,0,0,0,1,0,0,0,0,0
105,106,6,5,34.288000000000004,6,12.99,12.99,77.94,2,12.99,12.99,25.98,1.0,600.0,502.0,152.0,7.0,39.0,2.0,12.0,0.07698229407236336,0.07698229407236336,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0
106,107,6,5,579.698,6,44.99,69.99,229.96,2,44.99,69.99,114.98,1.0,600.0,509.0,234.0,2.0,42.0,2.0,18.0,0.026194997946074026,0.017264885009912426,24.999999999999993,24.999999999999993,0,0,1,0,1,0,0,0,0,0,1
107,108,6,5,21.517,1,6.99,6.99,6.99,1,6.99,6.99,6.99,1.0,300.0,537.0,5.0,0.0,53.0,1.0,32.0,0.14306151645207438,0.14306151645207438,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0
108,109,6,5,272.73900000000003,3,9.99,32.99,52.97,1,9.99,9.99,9.99,1.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.056635831602794035,0.10010010010010009,23.0,0.0,0,0,0,0,0,1,0,0,0,0,0
109,110,6,5,524.8919999999999,15,6.99,249.99,497.5,2,13.99,19.32,33.31,2.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.02980978904469835,0.061128846023228954,243.0,5.33,0,0,1,0,1,0,0,0,0,0,0
110,111,6,5,95.23,6,49.99,69.99,339.94,1,49.99,49.99,49.99,2.0,0.0,70.0,0.0,0.0,19.0,1.0,10.0,0.017650173560040006,0.020004000800160033,19.999999999999993,0.0,0,0,1,0,1,0,0,0,0,0,0
