sessionNo,startHour,startWeekday,duration,cCount,cMinPrice,cMaxPrice,cSumPrice,bCount,bMinPrice,bMaxPrice,bSumPrice,bStep,maxVal,customerScore,accountLifetime,payments,age,address,lastOrder,cMedPrice,bMedPrice,cInterval,bInterval,new_user,onlineStatus_ y,availability_ completely not orderable,availability_ completely orderable,availability_ desconhecida,availability_ mainly not determinable,availability_ mainly orderable,availability_ mixed,order_ y
300.0,7.0,5.0,1645.214,87.0,7.0,39.99,1406.6,10.0,7.0,19.99,145.88,1.0,800.0,464.0,108.0,17.0,36.0,2.0,15.0,0.009657495,0.016669445,139.95999,0.0,0,1,0,0,0,0,1,0,0
301.0,7.0,5.0,3438.421,30.0,7.99,39.99,614.62,3.0,14.99,34.99,69.97,1.0,2300.0,552.0,317.0,2.0,51.0,2.0,207.0,0.0012562971,0.016669445,1345.0,0.0,0,1,0,1,0,0,0,0,0
306.0,7.0,5.0,1734.1170000000002,19.0,9.99,189.95,869.77,4.0,9.99,149.99,189.96,5.0,2500.0,463.0,418.0,9.0,43.0,1.0,11.0,0.033344448,0.033344448,0.0,0.0,0,1,0,1,0,0,0,0,1
308.0,7.0,5.0,62.852,2.0,999.99,999.99,1999.98,1.0,999.99,999.99,999.99,5.0,500.0,523.0,2.0,0.0,30.0,1.0,38.0,0.016669445,0.016669445,0.0,0.0,0,1,0,1,0,0,0,0,1
317.0,7.0,5.0,584.099,17.0,9.99,15.99,81.93,2.0,9.99,9.99,19.98,2.0,2600.0,502.0,218.0,18.0,46.0,2.0,18.0,0.013742665,0.01975699,370.0,20.0,0,1,0,1,0,0,0,0,0
318.0,7.0,5.0,30.215,1.0,1799.99,1799.99,1799.99,1.0,1799.99,1799.99,1799.99,1.0,6000.0,515.0,242.0,28.0,37.0,1.0,16.0,0.036376864,0.036376864,40.0,40.0,0,1,0,0,1,0,0,0,0
325.0,7.0,5.0,2379.826,79.0,3.0,44.99,1604.4,3.0,9.99,39.99,74.97,5.0,2500.0,494.0,219.0,6.0,46.0,2.0,37.0,0.07620284,0.06087775,30.000002,15.0,0,1,0,1,0,0,0,0,1
327.0,7.0,5.0,48.229,2.0,159.99,159.99,319.98,1.0,159.99,159.99,159.99,1.0,1000.0,553.0,13.0,6.0,49.0,2.0,32.0,0.04387656,0.008154789,310.03998,310.03998,0,1,0,1,0,0,0,0,0
331.0,7.0,5.0,654.195,11.0,11.99,34.99,255.89,2.0,11.99,34.99,46.98,5.0,2900.0,550.0,57.0,17.0,52.0,2.0,53.0,0.053175777,0.0769823,71.91,0.0,0,1,0,1,0,0,0,0,1
333.0,7.0,5.0,1434.7820000000002,58.0,14.99,29.95,1468.91,7.0,17.99,29.95,181.69,5.0,1300.0,437.0,98.0,21.0,36.0,2.0,19.0,0.029704917,0.02339257,70.0,35.0,0,1,0,1,0,0,0,0,1
334.0,7.0,5.0,20.000999999999998,2.0,11.99,12.99,24.98,2.0,11.99,12.99,24.98,1.0,2000.0,553.0,139.0,11.0,46.0,2.0,14.0,0.07194245,0.07194245,0.0,0.0,0,1,0,0,1,0,0,0,0
336.0,7.0,5.0,248.868,4.0,44.99,44.99,179.96,1.0,44.99,44.99,44.99,1.0,600.0,541.0,191.0,7.0,48.0,2.0,19.0,0.02204282,0.024396192,48.999996,0.0,0,1,1,0,0,0,0,0,0
338.0,7.0,5.0,1129.472,51.0,44.99,379.99,10389.53,1.0,229.99,229.99,229.99,1.0,500.0,447.0,2.0,6.0,39.0,2.0,11.0,0.00500025,0.00500025,0.0,0.0,0,1,0,1,0,0,0,0,0
351.0,7.0,5.0,888.584,12.0,9.99,19.99,179.89,3.0,9.99,19.99,49.97,1.0,4000.0,597.0,152.0,10.0,42.0,2.0,181.0,0.06917679,0.062539086,19.99,12.0,0,1,0,0,1,0,0,0,0
352.0,7.0,5.0,478.134,21.0,39.9,169.95,2018.55,1.0,69.9,69.9,69.9,1.0,800.0,517.0,36.0,9.0,60.0,2.0,20.0,0.0025791419,0.002616891,120.0,50.0,0,1,0,1,0,0,0,0,0
355.0,7.0,5.0,1670.9370000000001,19.0,19.99,99.95,849.75,1.0,59.99,59.99,59.99,5.0,1000.0,567.0,30.0,15.0,31.0,1.0,18.0,0.06671114,0.06671114,0.0,0.0,0,1,0,1,0,0,0,0,1
358.0,7.0,5.0,1814.3529999999998,46.0,12.99,59.99,1785.5,1.0,29.99,29.99,29.99,1.0,300.0,431.0,41.0,3.0,31.0,1.0,11.0,0.059541218,0.058428276,76.0,31.000002,0,1,0,0,1,0,0,0,0
370.0,7.0,5.0,92.59,2.0,179.99,179.99,359.98,1.0,179.99,179.99,179.99,1.0,4000.0,518.0,339.0,11.0,45.0,2.0,12.0,0.026646227,0.03529721,54.96,34.96,0,1,0,1,0,0,0,0,0
371.0,7.0,5.0,1701.745,29.0,2.99,19.99,287.71,2.0,3.99,8.99,12.98,5.0,300.0,494.0,25.0,1.0,68.0,2.0,18.0,0.034402456,0.03261933,10.000002,10.000002,0,1,0,1,0,0,0,0,1
372.0,7.0,5.0,1999.2879999999998,24.0,1.0,59.99,213.95,3.0,1.0,59.99,63.99,1.0,3000.0,502.0,194.0,11.0,53.0,2.0,17.0,0.018995004,0.013664032,124.96,89.96,0,1,0,1,0,0,0,0,1
382.0,7.0,5.0,2695.5759999999996,36.0,29.99,1099.0,5233.17,2.0,29.99,49.99,79.98,5.0,3600.0,532.0,358.0,22.0,57.0,1.0,15.0,0.19516955,0.2,0.9899998,0.0,0,1,0,1,0,0,0,0,1
389.0,7.0,5.0,1654.7939999999999,66.0,9.99,24.99,901.41,2.0,12.0,14.99,26.99,5.0,1500.0,475.0,37.0,12.0,52.0,1.0,21.0,0.20423475,1.6666666,40.0,0.0,0,1,0,1,0,0,0,0,1
391.0,7.0,5.0,133.214,1.0,59.99,59.99,59.99,1.0,59.99,59.99,59.99,5.0,1200.0,481.0,157.0,11.0,43.0,2.0,19.0,0.027739773,0.030543678,154.0,67.0,0,1,0,1,0,0,0,0,1
395.0,7.0,5.0,87.58200000000001,2.0,39.99,39.99,79.98,1.0,39.99,39.99,39.99,5.0,300.0,403.0,3.0,0.0,30.0,2.0,122.0,0.0078193415,0.0071477075,120.170006,120.170006,0,1,0,1,0,0,0,0,1
396.0,7.0,5.0,1753.904,21.0,44.99,299.99,764.91,5.0,59.99,59.99,299.95,1.0,2700.0,508.0,117.0,8.0,52.0,2.0,104.0,0.02973131,0.0614903,96.0,16.0,0,1,0,1,0,0,0,0,1
397.0,7.0,5.0,179.864,2.0,69.99,79.99,149.98,2.0,69.99,79.99,149.98,5.0,3000.0,541.0,196.0,10.0,67.0,1.0,12.0,0.001603935,0.0014306152,100.0,0.0,0,1,0,1,0,0,0,0,1
401.0,7.0,5.0,157.047,7.0,12.0,17.99,95.98,2.0,12.0,17.99,29.99,2.0,900.0,549.0,14.0,22.0,27.0,2.0,18.0,0.033344448,0.033344448,0.0,0.0,0,1,0,1,0,0,0,0,0
403.0,7.0,5.0,1058.275,9.0,69.99,69.99,489.93,3.0,69.99,69.99,209.97,1.0,600.0,438.0,215.0,22.0,26.0,1.0,53.0,0.0037839268,0.00400016,49.999985,0.0,0,1,0,0,1,0,0,0,0
409.0,7.0,5.0,2402.272,51.0,4.99,39.99,961.54,4.0,18.99,19.32,76.62,2.0,2700.0,557.0,217.0,5.0,44.0,2.0,11.0,0.14968881,0.12079379,33.97,31.970001,0,1,0,1,0,0,0,0,0
411.0,7.0,5.0,247.297,1.0,309.99,309.99,309.99,1.0,309.99,309.99,309.99,1.0,500.0,444.0,48.0,10.0,41.0,2.0,167.0,0.022160597,0.022732439,20.000002,10.0,0,1,0,1,0,0,0,0,0
414.0,7.0,5.0,322.524,4.0,14.99,14.99,59.96,1.0,14.99,14.99,14.99,5.0,1300.0,513.0,208.0,11.0,48.0,2.0,51.0,0.0661472,0.06530257,74.979996,22.99,0,1,0,1,0,0,0,0,1
426.0,7.0,5.0,6267.589,11.0,149.99,349.99,2779.89,1.0,199.99,199.99,199.99,5.0,4000.0,551.0,182.0,13.0,48.0,1.0,106.0,0.0416712,0.034674596,38.0,28.000002,0,1,0,1,0,0,0,0,1
431.0,7.0,5.0,1228.803,17.0,6.0,89.95,523.85,1.0,24.99,24.99,24.99,5.0,1600.0,518.0,55.0,20.0,33.0,1.0,36.0,0.33333334,0.33333334,0.0,0.0,0,1,0,1,0,0,0,0,1
434.0,7.0,5.0,565.265,2.0,299.99,299.99,599.98,1.0,299.99,299.99,299.99,5.0,8500.0,572.0,296.0,31.0,62.0,2.0,17.0,0.03182831,0.029859658,62.0,62.0,0,1,0,1,0,0,0,0,1
440.0,7.0,5.0,389.096,2.0,45.0,45.0,90.0,1.0,45.0,45.0,45.0,2.0,600.0,566.0,109.0,6.0,41.0,2.0,470.0,0.119898364,0.12504113,11.99,9.49,0,1,0,1,0,0,0,0,0
444.0,7.0,5.0,506.806,9.0,6.99,19.99,115.91,8.0,6.99,19.99,105.92,1.0,15000.0,549.0,247.0,17.0,47.0,2.0,13.0,0.08070888,0.13351135,81.0,4.0,0,1,0,1,0,0,0,0,0
446.0,7.0,5.0,571.3919999999999,7.0,469.99,699.99,2139.96,1.0,469.99,469.99,469.99,5.0,500.0,416.0,1.0,2.0,38.0,2.0,47.0,0.046714373,0.039740194,94.79,84.99,0,1,0,1,0,0,0,0,1
447.0,7.0,5.0,2316.795,21.0,9.99,229.99,1043.79,13.0,9.99,229.99,625.87,5.0,3300.0,512.0,339.0,34.0,48.0,1.0,23.0,0.0729927,0.0675132,13.0,13.0,0,1,0,1,0,0,0,0,1
448.0,7.0,5.0,803.182,16.0,10.99,34.99,233.89,2.0,19.99,34.99,54.98,5.0,2500.0,552.0,144.0,21.0,43.0,2.0,10.0,0.044822145,0.04302926,35.0,35.0,0,1,0,1,0,0,0,0,1
457.0,7.0,5.0,213.04,5.0,19.99,19.99,99.95,3.0,19.99,19.99,59.97,5.0,14500.0,550.0,52.0,29.0,40.0,2.0,10.0,0.016669445,0.016669445,0.0,0.0,0,1,0,1,0,0,0,0,1
459.0,7.0,5.0,1505.425,8.0,5.99,12.0,79.95,2.0,8.99,8.99,17.98,2.0,1500.0,512.0,100.0,4.0,38.0,2.0,140.0,0.012636367,0.013047449,29.96,10.0,0,1,0,1,0,0,0,0,0
468.0,7.0,5.0,9919.076,174.0,1.0,89.99,2126.39,13.0,3.0,89.99,229.86,5.0,2400.0,464.0,50.0,57.0,33.0,2.0,32.0,0.33333334,0.33333334,0.0,0.0,0,1,0,1,0,0,0,0,1
469.0,7.0,5.0,3297.261,109.0,5.99,49.99,1691.96,16.0,6.99,49.99,278.85,1.0,300.0,523.0,4.0,1.0,19.0,2.0,55.0,0.036505576,0.028616397,59.96,9.910002,0,1,0,0,1,0,0,0,0
470.0,7.0,5.0,177.31799999999998,1.0,59.99,59.99,59.99,1.0,59.99,59.99,59.99,1.0,6500.0,563.0,222.0,96.0,44.0,2.0,10.0,0.016669445,0.016669445,0.0,0.0,0,1,0,1,0,0,0,0,0
471.0,7.0,5.0,449.584,45.0,9.99,69.95,1339.31,15.0,9.99,69.95,445.77,5.0,600.0,585.0,30.0,10.0,29.0,2.0,71.0,0.049524564,0.049524564,37.0,37.0,0,1,0,1,0,0,0,0,1
483.0,7.0,5.0,1915.0829999999999,69.0,1.0,29.99,570.72,8.0,1.0,29.99,99.95,5.0,1500.0,592.0,60.0,33.0,28.0,2.0,10.0,0.061851274,0.06854949,32.99,12.99,0,1,0,1,0,0,0,0,1
485.0,7.0,5.0,732.3,35.0,9.99,19.99,448.66,13.0,9.99,19.99,177.87,5.0,8500.0,558.0,324.0,21.0,51.0,2.0,28.0,0.04880986,0.043743826,32.0,20.000002,0,1,0,1,0,0,0,0,1
487.0,7.0,5.0,8413.984,109.0,5.0,49.99,1987.81,3.0,14.99,29.99,64.97,5.0,8500.0,503.0,175.0,29.0,50.0,1.0,11.0,0.017547812,0.015346269,179.95999,140.0,0,1,0,1,0,0,0,0,1
490.0,7.0,5.0,389.189,8.0,9.99,34.99,132.73,8.0,9.99,34.99,132.73,5.0,2500.0,563.0,209.0,9.0,66.0,2.0,84.0,0.048038904,0.023261223,162.0,52.0,0,1,0,1,0,0,0,0,1
502.0,7.0,5.0,3138.34,55.0,8.99,59.99,1081.95,9.0,8.99,59.99,166.91,5.0,600.0,467.0,106.0,13.0,30.0,2.0,106.0,0.0010000101,0.0010000101,0.0,0.0,0,1,0,1,0,0,0,0,1
510.0,7.0,5.0,1044.6860000000001,4.0,7.99,89.99,161.96,4.0,7.99,89.99,161.96,3.0,4000.0,566.0,334.0,12.0,68.0,1.0,97.0,0.08914728,0.08609842,15.01,10.0,0,1,0,1,0,0,0,0,0
512.0,7.0,5.0,6152.765,193.0,2.99,19.99,1950.62,6.0,5.0,19.99,69.95,5.0,1800.0,582.0,170.0,13.0,41.0,2.0,15.0,0.2074942,0.1001001,6.0,0.0,0,1,0,1,0,0,0,0,1
517.0,7.0,5.0,1417.565,30.0,3.99,19.99,276.84,3.0,3.99,3.99,11.97,5.0,8500.0,577.0,359.0,12.0,58.0,2.0,65.0,0.00055555865,0.00055555865,0.0,0.0,0,1,0,1,0,0,0,0,1
519.0,7.0,5.0,1271.859,32.0,10.99,22.99,322.54,4.0,19.95,22.99,62.89,5.0,5000.0,495.0,116.0,151.0,41.0,2.0,11.0,0.051065695,0.0672608,40.0,4.5,0,1,0,1,0,0,0,0,1
521.0,7.0,5.0,184.25599999999997,1.0,59.99,59.99,59.99,1.0,59.99,59.99,59.99,5.0,8500.0,487.0,253.0,10.0,40.0,1.0,40.0,0.046902157,0.040016003,41.99,30.000002,0,1,0,1,0,0,0,0,1
524.0,7.0,5.0,3338.6459999999997,56.0,7.99,69.99,1549.15,3.0,19.99,59.95,102.93,5.0,2500.0,550.0,212.0,18.0,38.0,2.0,25.0,0.0062503903,0.0062503903,0.0,0.0,0,1,0,1,0,0,0,0,1
526.0,7.0,5.0,1566.9489999999998,40.0,18.0,59.99,1158.61,14.0,18.0,59.99,397.88,5.0,5000.0,477.0,98.0,13.0,53.0,2.0,15.0,0.041981902,0.042571306,23.000002,23.000002,0,1,0,1,0,0,0,0,1
531.0,7.0,5.0,76.36399999999999,7.0,3.99,29.99,82.93,7.0,3.99,29.99,82.93,5.0,2500.0,513.0,293.0,36.0,55.0,2.0,17.0,0.03954648,0.03852716,14.960001,11.960001,0,1,0,1,0,0,0,0,1
533.0,7.0,5.0,691.4939999999999,20.0,9.99,39.99,562.81,11.0,9.99,39.99,262.89,5.0,2500.0,543.0,153.0,7.0,41.0,2.0,11.0,0.08006405,0.08006405,1.0,1.0,0,1,0,1,0,0,0,0,0
534.0,7.0,5.0,870.565,12.0,8.99,199.99,1613.95,1.0,149.0,149.0,149.0,5.0,2500.0,439.0,209.0,22.0,41.0,1.0,110.0,0.066642374,0.049574114,20.0,17.0,0,1,0,1,0,0,0,0,1
535.0,7.0,5.0,1878.88,13.0,3.99,34.99,225.87,1.0,14.99,14.99,14.99,1.0,4000.0,553.0,223.0,4.0,49.0,1.0,14.0,0.02222716,0.02222716,0.0,0.0,0,1,0,1,0,0,0,0,0
543.0,7.0,5.0,831.069,13.0,24.99,29.99,384.87,3.0,29.99,29.99,89.97,5.0,200.0,401.0,76.0,7.0,45.0,2.0,20.0,0.004908788,0.004348015,335.0,0.0,0,1,0,1,0,0,0,0,1
545.0,7.0,5.0,1438.961,52.0,1.0,189.99,1115.87,2.0,3.0,10.0,13.0,1.0,300.0,475.0,83.0,8.0,29.0,2.0,22.0,0.033344448,0.033344448,0.0,0.0,0,1,0,0,1,0,0,0,0
