,sessionNo,startHour,startWeekday,duration,cCount,cMinPrice,cMaxPrice,cSumPrice,bCount,bMinPrice,bMaxPrice,bSumPrice,bStep,maxVal,customerScore,accountLifetime,payments,age,address,lastOrder,cMedPrice,bMedPrice,bInterval,cInterval,new_user,onlineStatus_ n,onlineStatus_ y,availability_ completely not orderable,availability_ completely orderable,availability_ desconhecida,availability_ mainly not orderable,availability_ mainly orderable,availability_ mixed
10,11,18,7,4399.213,50,5.0,39.9,864.27,9,12.99,19.99,129.91,1.0,4000.0,547.0,217.0,3.0,48.0,2.0,146.0,0.056727476221413456,0.06563444840163979,6.999999999999998,34.9,0,0,1,0,0,0,0,1,0
11,12,18,7,1150.028,46,7.0,29.99,854.55,2,9.99,19.99,29.98,5.0,2400.0,532.0,219.0,26.0,46.0,2.0,24.0,0.054157845502437095,0.06474777797398316,9.999999999999998,22.99,0,0,1,0,1,0,0,0,0
12,13,18,7,1033.142,11,14.99,49.99,354.89,2,29.99,49.99,79.98,5.0,3000.0,516.0,243.0,10.0,62.0,1.0,64.0,0.03057027099190856,0.02459621218332377,20.000000000000004,35.0,0,0,1,0,1,0,0,0,0
13,14,18,7,4183.782,114,9.99,129.99,4096.43,7,9.99,59.99,200.9,1.0,300.0,80.0,24.0,1.0,50.0,2.0,43.0,0.02243147982534589,0.031299254407046805,50.0,120.00000000000001,0,0,0,0,0,1,0,0,0
14,15,18,7,8433.742,100,4.99,199.99,9460.51,4,4.99,149.99,214.88,1.0,600.0,558.0,106.0,4.0,47.0,2.0,131.0,0.010991989245104233,0.01727665378495112,145.0,195.0,0,0,1,0,1,0,0,0,0
15,16,18,7,154.899,8,29.99,49.99,299.92,1,29.99,29.99,29.99,1.0,200.0,557.0,223.0,10.0,51.0,2.0,31.0,0.026673779674579887,0.03334444814938313,0.0,20.000000000000004,0,0,0,0,0,1,0,0,0
16,17,18,7,3903.4159999999997,30,3.0,699.99,3241.86,2,79.99,399.99,479.98,5.0,4000.0,493.0,341.0,19.0,73.0,2.0,32.0,0.009030593959097053,0.004272334419350194,320.0,696.99,0,0,1,0,1,0,0,0,0
17,18,18,7,71.873,3,19.99,59.95,139.89,3,19.99,59.95,139.89,1.0,8500.0,562.0,223.0,33.0,50.0,1.0,5.0,0.02047082906857728,0.02047082906857728,39.96000000000001,39.96000000000001,0,0,1,0,1,0,0,0,0
18,19,18,7,192.97,10,14.0,19.99,175.94,2,19.99,19.99,39.98,4.0,0.0,384.0,178.0,9.0,35.0,2.0,7.0,0.05757259544456838,0.05002501250625313,0.0,5.989999999999998,0,0,1,0,1,0,0,0,0
19,20,18,7,1100.188,27,17.99,139.99,1943.75,10,17.99,139.99,563.92,1.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.014609239850650135,0.017066882294849445,122.00000000000001,122.00000000000001,0,0,1,0,1,0,0,0,0
20,21,18,7,209.77700000000002,9,99.0,199.0,696.0,1,199.0,199.0,199.0,1.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.012067578439259855,0.005025125628140704,0.0,100.0,0,0,1,0,0,1,0,0,0
21,22,18,7,1395.358,16,9.99,19.99,224.86,2,9.99,17.99,27.98,1.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.06916649759300587,0.06927873142945117,7.999999999999998,9.999999999999998,0,0,1,0,1,0,0,0,0
22,23,18,7,2798.5440000000003,40,4.99,24.99,567.69,6,4.99,24.99,102.94,5.0,3600.0,588.0,357.0,10.0,61.0,1.0,24.0,0.06756442267702253,0.05713016155140126,20.0,20.0,0,0,1,0,1,0,0,0,0
23,24,18,7,1291.75,47,3.0,44.99,630.74,1,9.99,9.99,9.99,1.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.07451564828614009,0.10010010010010009,0.0,41.99,0,0,0,0,0,1,0,0,0
24,25,18,7,1177.269,19,9.99,329.99,1509.85,3,14.99,29.99,64.97,1.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.011539479727849288,0.04287551807917679,14.999999999999998,320.0,0,0,0,0,0,1,0,0,0
25,26,18,7,33.44,5,49.99,49.99,249.95,1,49.99,49.99,49.99,1.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.020004000800160033,0.020004000800160033,0.0,0.0,0,0,0,0,0,1,0,0,0
26,27,18,7,4557.034000000001,61,1.0,69.99,776.84,8,9.99,29.99,132.97,1.0,300.0,520.0,14.0,0.0,41.0,2.0,63.0,0.08393273173064206,0.06282590940503863,20.0,68.99,0,0,1,0,1,0,0,0,0
27,28,18,7,62.605,1,49.99,49.99,49.99,1,49.99,49.99,49.99,5.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.020004000800160033,0.020004000800160033,0.0,0.0,0,0,1,0,1,0,0,0,0
28,29,18,7,874.942,15,19.99,20.0,279.87,4,19.99,19.99,79.96,1.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.05446986371417773,0.05002501250625314,0.0,0.010000000000001563,0,0,1,0,1,0,0,0,0
29,30,18,7,2117.5860000000002,20,9.99,9.99,189.81,3,9.99,9.99,29.97,1.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.10461589408957832,0.1001001001001001,0.0,0.0,0,0,1,0,1,0,0,0,0
30,31,18,7,2874.579,31,17.99,59.95,1177.37,7,17.99,59.95,255.89,5.0,2700.0,603.0,231.0,5.0,48.0,1.0,129.0,0.027183671959022406,0.028545924955935064,41.96000000000001,41.96000000000001,0,0,1,0,1,0,0,0,0
31,32,18,7,1087.098,20,0.0,19.99,73.96,5,0.0,19.99,36.98,1.0,1000.0,552.0,45.0,43.0,33.0,1.0,7.0,0.2596769406876669,0.114469835078645,19.99,19.99,0,0,1,0,1,0,0,0,0
32,33,18,7,7945.024,131,7.0,169.95,2911.96,13,7.0,39.99,255.88,1.0,1700.0,70.0,165.0,2.0,51.0,2.0,362.0,0.04777632474257508,0.05235193224907949,32.99,162.95,0,0,1,0,1,0,0,0,0
33,34,18,7,1264.035,47,5.95,799.99,3561.79,7,5.95,799.99,1037.77,2.0,1600.0,436.0,27.0,29.0,51.0,2.0,52.0,0.013418157544222823,0.007634806388250726,794.04,794.04,0,0,1,0,1,0,0,0,0
34,35,18,7,2492.864,17,39.99,379.99,4586.86,2,39.99,249.99,289.98,1.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.0036441581593794434,0.006471006947508367,210.0,340.0,0,0,1,0,1,0,0,0,0
35,36,18,7,314.765,8,14.99,24.99,169.92,2,14.99,24.99,39.98,4.0,2500.0,558.0,224.0,7.0,57.0,1.0,82.0,0.04920452681646712,0.05368734442871786,9.999999999999998,9.999999999999998,0,0,1,0,1,0,0,0,0
36,37,18,7,2132.185,27,3.99,59.99,240.81,4,3.99,9.99,27.96,5.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.10037470708320913,0.155871720890127,6.0,56.0,0,0,1,0,1,0,0,0,0
37,38,18,7,889.2510000000001,14,39.99,129.99,1394.86,1,129.99,129.99,129.99,5.0,1400.0,467.0,53.0,8.0,45.0,2.0,54.0,0.010036849576301566,0.007692899453804138,0.0,90.0,0,0,1,0,1,0,0,0,0
38,39,18,7,383.82300000000004,7,3.99,49.99,159.93,7,3.99,49.99,159.93,1.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.042519589382251095,0.042519589382251095,46.0,46.0,0,0,1,0,1,0,0,0,0
39,40,18,7,211.343,10,19.99,24.99,224.9,2,19.99,24.99,44.98,5.0,1100.0,461.0,76.0,13.0,38.0,2.0,9.0,0.04468014841579735,0.04502025911660248,5.0,5.0,0,0,1,0,1,0,0,0,0
40,41,18,7,453.01800000000003,6,79.99,79.99,239.97,1,79.99,79.99,79.99,2.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.025003125390673835,0.012501562695336917,0.0,0.0,0,0,1,0,1,0,0,0,0
41,42,18,7,3701.1220000000003,55,3.99,24.99,445.54,7,3.99,19.99,93.89,5.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.11895783954607485,0.07484520650472885,15.999999999999998,21.0,0,0,1,0,1,0,0,0,0
42,43,18,7,25.041,1,49.99,49.99,49.99,1,49.99,49.99,49.99,1.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.020004000800160033,0.020004000800160033,0.0,0.0,0,0,1,0,1,0,0,0,0
43,44,18,7,127.995,8,9.99,39.99,139.94,2,14.99,29.99,44.98,1.0,0.0,0.0,0.0,0.0,26.0,2.0,18.0,0.06670001667500416,0.05002501250625313,14.999999999999998,30.0,0,0,0,0,0,1,0,0,0
44,45,18,7,971.257,10,9.9,19.99,159.53,3,19.95,19.99,59.89,1.0,4000.0,566.0,48.0,13.0,54.0,2.0,33.0,0.06268203908851958,0.05008960473736351,0.03999999999999915,10.089999999999998,0,0,1,0,1,0,0,0,0
45,46,18,7,1459.234,9,9.99,59.95,195.83,9,9.99,59.95,195.83,1.0,600.0,495.0,100.0,2.0,53.0,1.0,33.0,0.050716707151055716,0.050716707151055716,49.96,49.96,0,0,1,0,1,0,0,0,0
46,47,18,7,1249.254,16,5.99,14.99,167.89,5,5.99,14.99,59.95,1.0,200.0,556.0,84.0,5.0,43.0,2.0,53.0,0.09519171167980167,0.08123476848090982,9.0,9.0,0,0,1,0,1,0,0,0,0
47,48,18,7,327.78,5,39.99,39.99,199.95,5,39.99,39.99,199.95,1.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.02500625156289072,0.02500625156289072,0.0,0.0,0,0,1,0,0,1,0,0,0
48,49,18,7,327.907,9,14.99,29.99,209.91,4,14.99,29.99,89.96,5.0,4000.0,583.0,228.0,5.0,43.0,2.0,99.0,0.04246700640271789,0.044038524135025944,14.999999999999998,14.999999999999998,0,0,1,0,1,0,0,0,0
49,50,18,7,245.30200000000002,11,7.99,9.99,94.89,1,8.99,8.99,8.99,1.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.11592370112762146,0.11123470522803114,0.0,2.0,0,0,0,0,0,1,0,0,0
50,51,18,7,8169.485,81,9.99,49.99,2509.76,8,12.99,49.99,248.92,5.0,1700.0,542.0,210.0,8.0,49.0,2.0,19.0,0.029072682945553104,0.029097517522320853,37.0,40.0,0,0,1,0,1,0,0,0,0
51,52,18,7,108.829,5,17.95,17.95,89.75,2,17.95,17.95,35.9,1.0,600.0,559.0,25.0,3.0,46.0,2.0,30.0,0.055710306406685235,0.05571030640668524,0.0,0.0,0,0,1,0,1,0,0,0,0
52,53,18,7,265.621,3,9.99,49.99,59.98,3,9.99,49.99,59.98,1.0,4000.0,577.0,223.0,15.0,58.0,1.0,79.0,0.04616805170821791,0.04616805170821791,40.0,40.0,0,0,1,0,1,0,0,0,0
53,54,18,7,1485.874,15,22.99,599.99,3057.85,3,22.99,399.99,462.97,1.0,600.0,80.0,52.0,244.0,56.0,2.0,8.0,0.004283857947270469,0.005705555309019214,377.0,577.0,0,0,1,0,1,0,0,0,0
54,55,18,7,262.125,5,179.99,179.99,719.96,1,179.99,179.99,179.99,2.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.006944830268348241,0.005555864214678593,0.0,0.0,0,0,1,0,1,0,0,0,0
55,56,18,7,3177.349,94,7.99,549.99,1672.17,4,9.99,17.99,55.96,1.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.055082840441354496,0.06885471654808356,7.999999999999998,542.0,0,0,1,0,1,0,0,0,0
56,57,18,7,353.061,3,179.99,179.99,539.97,1,179.99,179.99,179.99,1.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.005555864214678593,0.005555864214678593,0.0,0.0,0,0,1,0,1,0,0,0,0
57,58,18,7,2220.123,39,17.95,399.99,1100.39,11,17.95,39.99,240.81,1.0,600.0,550.0,133.0,4.0,40.0,1.0,26.0,0.03360373841589877,0.04328665675767295,22.040000000000003,382.04,0,0,1,0,1,0,0,0,0
58,59,18,7,4243.712,53,69.99,1111.0,21617.73,8,79.99,888.0,3397.97,1.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.0023552758202630085,0.0024903545036462655,808.01,1041.01,0,0,1,0,0,1,0,0,0
59,60,18,7,2301.473,44,7.0,27.99,510.64,5,9.99,14.99,63.95,1.0,600.0,567.0,218.0,4.0,51.0,2.0,26.0,0.08638855875920064,0.07745933384972889,5.0,20.99,0,0,1,0,1,0,0,0,0
60,61,18,7,1825.8829999999998,26,3.99,32.99,447.8,2,3.99,29.99,33.98,1.0,1100.0,519.0,196.0,18.0,40.0,2.0,38.0,0.061433147571196625,0.07900974453515934,26.0,29.0,0,0,0,0,0,1,0,0,0
61,62,18,7,18.059,1,0.0,1.0,3.0,1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,inf,inf,0.0,0.0,0,0,1,0,1,0,0,0,0
62,63,18,7,5707.385,57,17.99,119.95,2653.5,5,17.99,49.99,162.91,1.0,1900.0,573.0,149.0,9.0,38.0,2.0,18.0,0.01853288381155309,0.02594814132335521,32.0,101.96000000000001,0,0,1,0,1,0,0,0,0
63,64,18,7,278.983,12,9.99,29.99,264.8,2,24.99,29.99,54.98,1.0,2400.0,581.0,82.0,6.0,26.0,2.0,117.0,0.04447550670309422,0.03751406777541578,5.0,20.0,0,0,0,0,0,1,0,0,0
64,65,18,7,553.521,4,29.99,29.99,119.96,1,29.99,29.99,29.99,1.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.03334444814938312,0.03334444814938312,0.0,0.0,0,0,1,0,1,0,0,0,0
65,66,18,7,371.07800000000003,2,15.0,15.0,30.0,1,15.0,15.0,15.0,5.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0,0,1,0,1,0,0,0,0
66,67,18,7,1792.01,8,29.99,64.99,339.92,3,29.99,64.99,134.97,1.0,600.0,463.0,15.0,14.0,30.0,2.0,33.0,0.024266242106073067,0.023082249749942295,35.0,35.0,0,0,1,0,1,0,0,0,0
67,68,18,7,87.971,2,79.99,79.99,159.98,1,79.99,79.99,79.99,1.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.012501562695336917,0.012501562695336917,0.0,0.0,0,0,0,0,0,1,0,0,0
68,69,18,7,4506.443,109,1.0,1699.0,3498.75,9,3.0,39.99,114.98,1.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.05512837381733983,0.06696249628641085,36.99,1698.0,0,0,1,0,1,0,0,0,0
69,70,18,7,120.7,12,14.99,39.95,239.61,2,15.99,15.99,31.98,1.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.04927984230450463,0.06253908692933083,0.0,24.96,0,0,0,0,0,1,0,0,0
70,71,18,7,116.10700000000001,5,3.99,29.99,97.95,2,3.99,29.99,33.98,1.0,3600.0,545.0,224.0,22.0,53.0,2.0,70.0,0.06608137449258944,0.07900974453515934,26.0,26.0,0,0,1,0,1,0,0,0,0
71,72,18,7,14.8,3,7.99,7.99,23.97,1,7.99,7.99,7.99,1.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.1251564455569462,0.1251564455569462,0.0,0.0,0,0,0,0,0,1,0,0,0
72,73,18,7,512.262,3,49.99,49.99,149.97,1,49.99,49.99,49.99,1.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.020004000800160033,0.020004000800160033,0.0,0.0,0,0,1,0,1,0,0,0,0
73,74,18,7,0.0,2,14.99,22.99,37.98,2,14.99,22.99,37.98,1.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.056635831602794035,0.056635831602794035,7.999999999999998,7.999999999999998,0,0,0,0,0,1,0,0,0
74,75,18,7,761.2760000000001,29,9.99,59.99,561.71,5,14.99,59.99,129.95,1.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.0504500677093014,0.03961965134706815,45.0,50.0,0,0,1,0,1,0,0,0,0
75,76,18,7,22.581,19,4.99,59.99,319.85,19,4.99,59.99,319.85,1.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.06702956709483272,0.06702956709483272,55.0,55.0,0,0,0,0,0,1,0,0,0
76,77,18,7,399.789,2,39.99,39.99,79.98,1,39.99,39.99,39.99,2.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.02500625156289072,0.02500625156289072,0.0,0.0,0,0,1,0,1,0,0,0,0
77,78,18,7,1917.9070000000002,39,4.99,199.99,1643.6,11,4.99,199.99,463.9,1.0,4000.0,532.0,110.0,4.0,31.0,2.0,7.0,0.019829279703299695,0.019667928348224117,195.0,195.0,0,0,1,0,1,0,0,0,0
78,79,18,7,338.361,5,249.99,399.99,1849.95,2,399.99,399.99,799.98,5.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.0026909815027749834,0.002500062501562539,0.0,150.0,0,0,1,0,1,0,0,0,0
79,80,18,7,2040.493,15,19.99,69.99,341.87,1,19.99,19.99,19.99,2.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.04387632725889959,0.05002501250625313,0.0,50.0,0,0,1,0,1,0,0,0,0
80,81,18,7,678.913,4,59.99,69.95,269.84,1,69.95,69.95,69.95,5.0,300.0,443.0,90.0,14.0,44.0,2.0,17.0,0.014823599169878448,0.014295925661186561,0.0,9.96,0,0,1,0,1,0,0,0,0
81,82,18,7,854.05,5,3.99,3.99,7.98,1,3.99,3.99,3.99,1.0,1600.0,501.0,146.0,12.0,44.0,2.0,134.0,0.5847953216374268,0.25062656641604003,0.0,0.0,0,0,1,0,1,0,0,0,0
82,83,18,7,7925.233,49,59.95,149.95,5727.65,5,89.95,139.95,609.75,1.0,600.0,430.0,10.0,10.0,30.0,2.0,7.0,0.00841521772805868,0.008200082000820008,49.999999999999986,89.99999999999999,0,0,1,0,1,0,0,0,0
83,84,18,7,1765.658,38,6.99,103.96,452.72,2,9.99,14.99,24.98,1.0,600.0,552.0,44.0,1.0,48.0,1.0,230.0,0.09458700131110695,0.08154792794128549,5.0,96.97,0,0,1,0,1,0,0,0,0
84,85,18,7,634.766,3,79.82,79.99,239.8,1,79.99,79.99,79.99,1.0,700.0,523.0,73.0,6.0,42.0,2.0,35.0,0.012510425354462052,0.012501562695336917,0.0,0.1700000000000017,0,0,1,0,1,0,0,0,0
85,86,18,7,177.727,8,15.99,59.99,227.94,2,15.99,59.99,75.98,1.0,1400.0,508.0,43.0,12.0,50.0,1.0,139.0,0.03473066370298336,0.02359046945034206,44.0,44.0,0,0,1,0,1,0,0,0,0
86,87,18,7,1414.766,37,9.99,49.99,969.52,4,12.99,40.0,112.97,1.0,0.0,0.0,0.0,0.0,20.0,2.0,15.0,0.04976951972413466,0.04469043280965314,27.009999999999998,40.0,0,0,0,0,0,1,0,0,0
87,88,18,7,363.24800000000005,2,19.99,19.99,39.98,2,19.99,19.99,39.98,2.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.05002501250625314,0.05002501250625314,0.0,0.0,0,0,1,0,1,0,0,0,0
88,89,18,7,1428.3020000000001,55,1.0,24.99,356.74,7,3.99,12.99,75.93,1.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.1531316971070422,0.08825793851989557,9.0,23.99,0,0,1,0,1,0,0,0,0
89,90,18,7,137.93,5,7.99,12.99,44.95,1,7.99,7.99,7.99,1.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.11123470522803114,0.1251564455569462,0.0,5.0,0,0,0,0,0,1,0,0,0
90,91,18,7,456.126,6,599.99,999.99,4719.94,2,659.99,899.99,1559.98,5.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.0012651544142589172,0.0012770300603052892,240.0,400.0,0,0,1,0,1,0,0,0,0
91,92,18,7,4451.706,71,3.99,19.99,727.32,9,7.0,19.99,124.88,1.0,600.0,70.0,14.0,1.0,31.0,2.0,406.0,0.09068779036231386,0.07138022926272151,12.989999999999998,15.999999999999998,0,0,1,0,1,0,0,0,0
92,93,18,7,1481.414,12,3.99,449.99,2127.88,3,3.99,179.99,353.97,5.0,800.0,477.0,342.0,10.0,59.0,2.0,36.0,0.0052358762238860655,0.007333871150551039,176.0,446.0,0,0,1,0,1,0,0,0,0
93,94,18,7,678.423,8,499.0,599.0,3474.0,1,0.0,0.0,0.0,1.0,300.0,434.0,245.0,10.0,51.0,1.0,34.0,0.0034542314335060447,inf,0.0,599.0,0,0,1,1,0,0,0,0,0
94,95,18,7,2824.902,2,99.99,99.99,199.98,1,99.99,99.99,99.99,1.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.010001000100010001,0.010001000100010001,0.0,0.0,0,0,0,0,0,1,0,0,0
95,96,18,7,1145.88,20,9.99,500.0,1141.81,5,9.99,64.99,107.95,1.0,4000.0,534.0,219.0,14.0,49.0,2.0,113.0,0.0465451959082066,0.08178726701390385,54.99999999999999,490.01,0,0,0,0,0,1,0,0,0
96,97,18,7,396.031,17,39.99,79.95,1010.51,1,39.99,39.99,39.99,4.0,300.0,477.0,8.0,4.0,34.0,1.0,22.0,0.01682318829106095,0.02500625156289072,0.0,39.96,0,0,1,0,1,0,0,0,0
97,98,18,7,505.55300000000005,9,24.99,69.99,454.91,1,69.99,69.99,69.99,1.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.019784133125233562,0.014287755393627663,0.0,45.0,0,0,0,0,0,1,0,0,0
98,99,18,7,813.291,7,9.99,49.99,309.93,2,49.99,49.99,99.98,1.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.022681723364777886,0.020004000800160033,0.0,40.0,0,0,1,0,1,0,0,0,0
99,100,18,7,1087.474,4,39.99,39.99,159.96,1,39.99,39.99,39.99,5.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.02500625156289072,0.02500625156289072,0.0,0.0,0,0,1,0,1,0,0,0,0
100,101,18,7,885.257,17,19.99,65.95,870.71,3,19.99,59.99,139.97,2.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.019889787179277182,0.022732439190725165,40.0,45.96000000000001,0,0,1,0,1,0,0,0,0
101,102,18,7,1345.165,4,99.99,99.99,399.96,1,99.99,99.99,99.99,1.0,500.0,441.0,88.0,19.0,26.0,1.0,72.0,0.010001000100010001,0.010001000100010001,0.0,0.0,0,0,1,0,1,0,0,0,0
102,103,18,7,5306.335999999999,49,9.99,79.99,795.7,3,15.0,16.99,46.99,1.0,700.0,531.0,223.0,7.0,60.0,1.0,666.0,0.06130391357755405,0.06343010490363504,1.9899999999999984,70.0,0,0,1,0,1,0,0,0,0
103,104,18,7,2731.407,46,29.99,169.95,2968.61,8,99.95,99.95,799.6,1.0,4000.0,558.0,203.0,22.0,39.0,2.0,13.0,0.016148433011416552,0.010005002501250625,0.0,139.95999999999998,0,0,1,0,0,1,0,0,0
104,105,18,7,723.4689999999999,11,3.99,44.99,247.89,8,3.99,25.99,154.92,5.0,4000.0,562.0,268.0,10.0,52.0,1.0,13.0,0.049978712770486655,0.054832642520650676,22.0,41.0,0,0,1,0,1,0,0,0,0
105,106,18,7,22.503,1,6.99,6.99,6.99,1,6.99,6.99,6.99,1.0,300.0,537.0,5.0,0.0,53.0,1.0,34.0,0.14306151645207438,0.14306151645207438,0.0,0.0,0,0,1,0,1,0,0,0,0
106,107,18,7,600.563,8,7.99,9.99,49.94,2,7.99,7.99,15.98,5.0,600.0,498.0,263.0,25.0,23.0,1.0,26.0,0.16458002703814723,0.12515644555694616,0.0,2.0,0,0,1,0,1,0,0,0,0
107,108,18,7,58.111999999999995,3,7.0,7.0,21.0,1,7.0,7.0,7.0,1.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0,0,0,0,0,1,0,0,0
108,109,18,7,1730.828,36,6.99,29.99,332.78,4,6.99,29.99,58.96,1.0,600.0,70.0,18.0,0.0,64.0,2.0,551.0,0.09619229613959306,0.06574832822848345,23.0,23.0,0,0,1,0,1,0,0,0,0
109,110,18,7,6328.174,176,2.99,100.0,2417.16,14,2.99,14.99,103.93,1.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.07251750787888785,0.12817876922681543,12.0,97.01,0,0,1,0,1,0,0,0,0
110,111,18,7,777.331,10,5.99,24.99,146.9,4,5.99,24.99,55.96,1.0,4000.0,521.0,215.0,5.0,64.0,2.0,39.0,0.06477407250228942,0.0677749870430172,19.0,19.0,0,0,1,0,1,0,0,0,0
111,112,18,7,4312.445,7,39.99,279.99,899.93,1,39.99,39.99,39.99,3.0,100.0,517.0,3.0,1.0,34.0,1.0,110.0,0.007584844918013446,0.02500625156289072,0.0,240.0,0,0,1,0,1,0,0,0,0
112,113,18,7,44.369,2,749.99,749.99,1499.98,1,749.99,749.99,749.99,1.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0,0.0013333511113481514,0.0013333511113481514,0.0,0.0,0,0,1,0,1,0,0,0,0
