sessionNo|startHour|startWeekday|duration|cCount|cMinPrice|cMaxPrice|cSumPrice|bCount|bMinPrice|bMaxPrice|bSumPrice|bStep|onlineStatus|availability|customerNo|maxVal|customerScore|accountLifetime|payments|age|address|lastOrder
3|18|7|6838.713|119|7.99|59.95|3263.57|12|12.49|39.95|346.56|2|y|completely orderable|25041|600|552|17|4|37|2|107
3|18|7|6947.655|119|7.99|59.95|3263.57|12|12.49|39.95|346.56|2|y|completely orderable|25041|600|552|17|4|37|2|107
3|18|7|7172.815|119|7.99|59.95|3263.57|12|12.49|39.95|346.56|?|y|completely orderable|25041|600|552|17|4|37|2|107
3|18|7|7195.814|119|7.99|59.95|3263.57|12|12.49|39.95|346.56|4|y|completely orderable|25041|600|552|17|4|37|2|107
3|18|7|7401.384|119|7.99|59.95|3263.57|12|12.49|39.95|346.56|?|y|completely orderable|25041|600|552|17|4|37|2|107
4|18|7|2612.105|139|3.99|239.99|5497.63|1|9.99|9.99|9.99|?|?|?|25042|8500|535|226|19|49|2|17
4|18|7|2628.785|142|3.99|239.99|5527.6|2|9.99|9.99|19.98|?|?|?|25042|8500|535|226|19|49|2|17
4|18|7|2687.947|145|3.99|239.99|5572.57|3|9.99|14.99|34.97|?|?|?|25042|8500|535|226|19|49|2|17
4|18|7|2711.858|145|3.99|239.99|5572.57|3|9.99|14.99|34.97|3|y|completely orderable|25042|8500|535|226|19|49|2|17
4|18|7|2729.34|145|3.99|239.99|5572.57|3|9.99|14.99|34.97|1|y|completely orderable|25042|8500|535|226|19|49|2|17
4|18|7|2853.55|152|3.99|239.99|5642.5|4|9.99|14.99|44.96|?|?|?|25042|8500|535|226|19|49|2|17
5|18|7|15.116|2|29.99|29.99|59.98|1|29.99|29.99|29.99|?|?|?|25043|600|543|39|2|53|2|234
5|18|7|48.145|2|29.99|29.99|59.98|1|29.99|29.99|29.99|2|y|completely orderable|25043|600|543|39|2|53|2|234
6|18|7|2400.149|31|10.99|39.99|277.48|1|10.99|10.99|10.99|?|?|?|25044|4000|513|352|9|82|1|28
6|18|7|3338.774|49|9.99|39.99|433.36|2|9.99|10.99|20.98|?|?|?|25044|4000|513|352|9|82|1|28
6|18|7|3464.238|51|7.99|39.99|449.34|3|7.99|10.99|28.97|?|?|?|25044|4000|513|352|9|82|1|28
7|18|7|0.0|1|14.99|14.99|14.99|1|14.99|14.99|14.99|?|?|?|?|?|?|?|?|?|?|?
7|18|7|11.111|2|14.99|14.99|29.98|2|14.99|14.99|29.98|?|?|?|?|?|?|?|?|?|?|?
7|18|7|482.112|8|14.99|19.99|129.92|2|14.99|14.99|29.98|1|y|completely orderable|?|?|?|?|?|?|?|?
8|18|7|1680.498|34|8.99|99.99|570.8|1|14.99|14.99|14.99|?|?|?|?|?|?|?|?|?|?|?
8|18|7|1844.763|40|8.99|99.99|648.74|2|12.99|14.99|27.98|?|?|?|?|?|?|?|?|?|?|?
9|18|7|68.599|4|59.99|79.99|299.96|1|79.99|79.99|79.99|?|?|?|25045|1500|433|73|14|65|2|4
10|18|7|1754.719|65|6.99|39.99|541.78|1|19.99|19.99|19.99|?|?|?|?|?|?|?|?|?|?|?
10|18|7|3106.946|100|5.0|39.99|664.5|2|7.99|19.99|27.98|?|?|?|?|?|?|?|?|?|?|?
10|18|7|3521.872|114|5.0|39.99|696.46|3|7.99|19.99|35.97|?|?|?|?|?|?|?|?|?|?|?
10|18|7|3659.455|114|5.0|39.99|696.46|3|7.99|19.99|35.97|2|y|completely orderable|?|?|?|?|?|?|?|?
10|18|7|3746.844|114|5.0|39.99|696.46|3|7.99|19.99|35.97|2|y|completely orderable|?|?|?|?|?|?|?|?
10|18|7|3788.695|114|5.0|39.99|696.46|3|7.99|19.99|35.97|2|y|completely orderable|?|?|?|?|?|?|?|?
10|18|7|3809.112|114|5.0|39.99|696.46|3|7.99|19.99|35.97|2|y|completely orderable|?|?|?|?|?|?|?|?
10|18|7|3870.233|114|5.0|39.99|696.46|3|7.99|19.99|35.97|?|y|completely orderable|?|?|?|?|?|?|?|?
10|18|7|3998.523|116|5.0|39.99|716.44|4|7.99|19.99|45.96|?|?|?|?|?|?|?|?|?|?|?
10|18|7|5066.403|143|5.0|39.99|806.38|4|7.99|19.99|45.96|?|y|completely orderable|?|?|?|?|?|?|?|?
10|18|7|5173.063|149|5.0|39.99|891.32|5|7.99|19.99|60.95|?|?|?|?|?|?|?|?|?|?|?
10|18|7|5187.244|149|5.0|39.99|891.32|5|7.99|19.99|60.95|?|y|completely orderable|?|?|?|?|?|?|?|?
10|18|7|5524.733|149|5.0|39.99|891.32|5|7.99|19.99|60.95|3|y|completely orderable|?|?|?|?|?|?|?|?
10|18|7|5689.675|149|5.0|39.99|891.32|5|7.99|19.99|60.95|?|y|completely orderable|?|?|?|?|?|?|?|?
10|18|7|5732.597|149|5.0|39.99|891.32|5|7.99|19.99|60.95|4|y|completely orderable|?|?|?|?|?|?|?|?
10|18|7|5758.208|149|5.0|39.99|891.32|5|7.99|19.99|60.95|4|y|completely orderable|?|?|?|?|?|?|?|?
10|18|7|5830.753|149|5.0|39.99|891.32|5|7.99|19.99|60.95|4|y|completely orderable|?|?|?|?|?|?|?|?
10|18|7|5852.879|149|5.0|39.99|891.32|5|7.99|19.99|60.95|?|y|completely orderable|?|?|?|?|?|?|?|?
11|18|7|1215.736|28|5.0|39.9|494.49|1|14.99|14.99|14.99|?|?|?|25046|4000|547|217|3|48|2|146
11|18|7|1312.886|28|5.0|39.9|494.49|1|14.99|14.99|14.99|2|y|completely orderable|25046|4000|547|217|3|48|2|146
11|18|7|1364.689|28|5.0|39.9|494.49|1|14.99|14.99|14.99|1|y|completely orderable|25046|4000|547|217|3|48|2|146
11|18|7|2203.639|42|5.0|39.9|759.35|2|14.99|19.99|34.98|?|?|?|25046|4000|547|217|3|48|2|146
11|18|7|3842.323|43|5.0|39.9|769.34|2|14.99|19.99|34.98|1|y|completely orderable|25046|4000|547|217|3|48|2|146
11|18|7|3920.814|44|5.0|39.9|784.33|3|14.99|19.99|49.97|?|?|?|25046|4000|547|217|3|48|2|146
11|18|7|4071.542|44|5.0|39.9|784.33|3|14.99|19.99|49.97|1|y|completely orderable|25046|4000|547|217|3|48|2|146
11|18|7|4349.79|45|5.0|39.9|799.32|4|14.99|19.99|64.96|?|?|?|25046|4000|547|217|3|48|2|146
11|18|7|4349.79|46|5.0|39.9|812.31|5|12.99|19.99|77.95|?|?|?|25046|4000|547|217|3|48|2|146
11|18|7|4349.79|47|5.0|39.9|825.3|6|12.99|19.99|90.94|?|?|?|25046|4000|547|217|3|48|2|146
11|18|7|4349.79|48|5.0|39.9|838.29|7|12.99|19.99|103.93|?|?|?|25046|4000|547|217|3|48|2|146
11|18|7|4349.79|49|5.0|39.9|851.28|8|12.99|19.99|116.92|?|?|?|25046|4000|547|217|3|48|2|146
11|18|7|4349.79|50|5.0|39.9|864.27|9|12.99|19.99|129.91|?|?|?|25046|4000|547|217|3|48|2|146
11|18|7|4399.213|50|5.0|39.9|864.27|9|12.99|19.99|129.91|1|y|mainly orderable|25046|4000|547|217|3|48|2|146
12|18|7|588.221|28|7.0|24.99|486.73|1|19.99|19.99|19.99|?|?|?|25047|2400|532|219|26|46|2|24
12|18|7|948.27|41|7.0|29.99|766.6|2|9.99|19.99|29.98|?|?|?|25047|2400|532|219|26|46|2|24
12|18|7|1096.861|46|7.0|29.99|854.55|2|9.99|19.99|29.98|1|y|completely orderable|25047|2400|532|219|26|46|2|24
12|18|7|1118.988|46|7.0|29.99|854.55|2|9.99|19.99|29.98|3|y|completely orderable|25047|2400|532|219|26|46|2|24
12|18|7|1139.83|46|7.0|29.99|854.55|2|9.99|19.99|29.98|4|y|completely orderable|25047|2400|532|219|26|46|2|24
12|18|7|1150.028|46|7.0|29.99|854.55|2|9.99|19.99|29.98|5|y|completely orderable|25047|2400|532|219|26|46|2|24
13|18|7|60.86|2|49.99|49.99|99.98|1|49.99|49.99|49.99|?|?|?|25048|3000|516|243|10|62|1|64
13|18|7|573.858|11|14.99|49.99|354.89|2|29.99|49.99|79.98|?|?|?|25048|3000|516|243|10|62|1|64
13|18|7|716.061|11|14.99|49.99|354.89|2|29.99|49.99|79.98|2|y|completely orderable|25048|3000|516|243|10|62|1|64
13|18|7|736.79|11|14.99|49.99|354.89|2|29.99|49.99|79.98|3|y|completely orderable|25048|3000|516|243|10|62|1|64
13|18|7|910.44|11|14.99|49.99|354.89|2|29.99|49.99|79.98|4|y|completely orderable|25048|3000|516|243|10|62|1|64
13|18|7|950.567|11|14.99|49.99|354.89|2|29.99|49.99|79.98|5|y|completely orderable|25048|3000|516|243|10|62|1|64
13|18|7|1009.179|11|14.99|49.99|354.89|2|29.99|49.99|79.98|4|y|completely orderable|25048|3000|516|243|10|62|1|64
13|18|7|1033.142|11|14.99|49.99|354.89|2|29.99|49.99|79.98|5|y|completely orderable|25048|3000|516|243|10|62|1|64
14|18|7|1682.217|41|19.0|119.99|2570.47|1|19.0|19.0|19.0|?|?|?|25049|300|80|24|1|50|2|43
14|18|7|1812.811|46|19.0|119.99|2870.42|2|19.0|59.99|78.99|?|?|?|25049|300|80|24|1|50|2|43
14|18|7|2267.117|58|19.0|119.99|3030.26|3|19.0|59.99|118.94|?|?|?|25049|300|80|24|1|50|2|43
14|18|7|3650.784|82|9.99|129.99|3470.64|4|9.99|59.99|128.93|?|?|?|25049|300|80|24|1|50|2|43
14|18|7|3797.302|91|9.99|129.99|3740.55|5|9.99|59.99|158.92|?|?|?|25049|300|80|24|1|50|2|43
14|18|7|3934.053|101|9.99|129.99|3982.48|6|9.99|59.99|188.91|?|?|?|25049|300|80|24|1|50|2|43
14|18|7|4183.782|114|9.99|129.99|4096.43|7|9.99|59.99|200.9|?|?|?|25049|300|80|24|1|50|2|43
15|18|7|2164.89|74|12.99|199.99|6555.85|1|59.9|59.9|59.9|?|?|?|25050|600|558|106|4|47|2|131
15|18|7|2175.443|74|12.99|199.99|6555.85|1|59.9|59.9|59.9|2|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|2309.739|74|12.99|199.99|6555.85|1|59.9|59.9|59.9|2|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|2346.195|74|12.99|199.99|6555.85|1|59.9|59.9|59.9|2|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|2364.997|74|12.99|199.99|6555.85|1|59.9|59.9|59.9|2|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|2402.229|74|12.99|199.99|6555.85|1|59.9|59.9|59.9|2|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|2437.022|74|12.99|199.99|6555.85|1|59.9|59.9|59.9|2|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|2503.592|74|12.99|199.99|6555.85|1|59.9|59.9|59.9|2|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|2531.457|74|12.99|199.99|6555.85|1|59.9|59.9|59.9|2|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|2564.803|74|12.99|199.99|6555.85|1|59.9|59.9|59.9|?|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|2577.182|74|12.99|199.99|6555.85|1|59.9|59.9|59.9|4|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|2733.892|74|12.99|199.99|6555.85|1|59.9|59.9|59.9|2|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|2758.915|74|12.99|199.99|6555.85|1|59.9|59.9|59.9|2|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|2771.659|74|12.99|199.99|6555.85|1|59.9|59.9|59.9|2|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|2784.854|74|12.99|199.99|6555.85|1|59.9|59.9|59.9|2|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|2801.986|74|12.99|199.99|6555.85|1|59.9|59.9|59.9|2|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|2819.357|74|12.99|199.99|6555.85|1|59.9|59.9|59.9|2|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|2831.978|74|12.99|199.99|6555.85|1|59.9|59.9|59.9|2|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|2845.432|74|12.99|199.99|6555.85|1|59.9|59.9|59.9|2|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|2860.363|74|12.99|199.99|6555.85|1|59.9|59.9|59.9|2|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|2874.963|74|12.99|199.99|6555.85|1|59.9|59.9|59.9|2|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|2886.529|74|12.99|199.99|6555.85|1|59.9|59.9|59.9|2|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|2918.33|74|12.99|199.99|6555.85|1|59.9|59.9|59.9|2|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|2945.553|74|12.99|199.99|6555.85|1|59.9|59.9|59.9|2|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|2973.919|74|12.99|199.99|6555.85|1|59.9|59.9|59.9|2|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|2992.054|74|12.99|199.99|6555.85|1|59.9|59.9|59.9|2|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|3039.38|74|12.99|199.99|6555.85|1|59.9|59.9|59.9|2|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|3051.579|74|12.99|199.99|6555.85|1|59.9|59.9|59.9|2|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|3063.686|74|12.99|199.99|6555.85|1|59.9|59.9|59.9|1|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|3117.919|75|4.99|199.99|6560.84|2|4.99|59.9|64.89|?|?|?|25050|600|558|106|4|47|2|131
15|18|7|3128.422|75|4.99|199.99|6560.84|2|4.99|59.9|64.89|1|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|3171.323|75|4.99|199.99|6560.84|2|4.99|59.9|64.89|1|y|mainly orderable|25050|600|558|106|4|47|2|131
15|18|7|3201.181|75|4.99|199.99|6560.84|2|4.99|59.9|64.89|1|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|3248.796|75|4.99|199.99|6560.84|2|4.99|59.9|64.89|1|y|mainly orderable|25050|600|558|106|4|47|2|131
15|18|7|3278.599|75|4.99|199.99|6560.84|2|4.99|59.9|64.89|1|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|3316.111|75|4.99|199.99|6560.84|2|4.99|59.9|64.89|1|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|3338.049|75|4.99|199.99|6560.84|2|4.99|59.9|64.89|?|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|3362.568|75|4.99|199.99|6560.84|2|4.99|59.9|64.89|4|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|3467.937|75|4.99|199.99|6560.84|2|4.99|59.9|64.89|4|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|3501.685|75|4.99|199.99|6560.84|2|4.99|59.9|64.89|4|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|3561.207|75|4.99|199.99|6560.84|2|4.99|59.9|64.89|?|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|7636.984|99|4.99|199.99|9460.51|3|4.99|149.99|214.88|?|?|?|25050|600|558|106|4|47|2|131
15|18|7|7657.566|99|4.99|199.99|9460.51|3|4.99|149.99|214.88|?|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|7730.366|99|4.99|199.99|9460.51|3|4.99|149.99|214.88|?|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|7764.785|99|4.99|199.99|9460.51|3|4.99|149.99|214.88|1|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|7803.339|99|4.99|199.99|9460.51|3|4.99|149.99|214.88|1|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|7859.574|99|4.99|199.99|9460.51|3|4.99|149.99|214.88|1|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|7906.114|99|4.99|199.99|9460.51|3|4.99|149.99|214.88|1|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|7954.423|99|4.99|199.99|9460.51|3|4.99|149.99|214.88|1|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|7968.732|99|4.99|199.99|9460.51|3|4.99|149.99|214.88|1|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|8107.996|99|4.99|199.99|9460.51|3|4.99|149.99|214.88|1|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|8126.146|99|4.99|199.99|9460.51|3|4.99|149.99|214.88|1|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|8154.863|99|4.99|199.99|9460.51|3|4.99|149.99|214.88|1|y|mixed|25050|600|558|106|4|47|2|131
15|18|7|8182.662|99|4.99|199.99|9460.51|3|4.99|149.99|214.88|1|y|mainly not orderable|25050|600|558|106|4|47|2|131
15|18|7|8231.703|99|4.99|199.99|9460.51|3|4.99|149.99|214.88|1|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|8291.387|99|4.99|199.99|9460.51|3|4.99|149.99|214.88|1|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|8359.745|100|4.99|199.99|9460.51|4|4.99|149.99|214.88|?|?|?|25050|600|558|106|4|47|2|131
15|18|7|8367.916|100|4.99|199.99|9460.51|4|4.99|149.99|214.88|1|y|mainly orderable|25050|600|558|106|4|47|2|131
15|18|7|8381.817|100|4.99|199.99|9460.51|4|4.99|149.99|214.88|1|y|completely orderable|25050|600|558|106|4|47|2|131
15|18|7|8433.742|100|4.99|199.99|9460.51|4|4.99|149.99|214.88|1|y|completely orderable|25050|600|558|106|4|47|2|131
16|18|7|154.899|8|29.99|49.99|299.92|1|29.99|29.99|29.99|?|?|?|25051|200|557|223|10|51|2|31
17|18|7|2377.233|11|49.99|699.99|1409.91|1|79.99|79.99|79.99|?|?|?|25052|4000|493|341|19|73|2|32
17|18|7|2411.543|13|49.99|699.99|2209.89|2|79.99|399.99|479.98|?|?|?|25052|4000|493|341|19|73|2|32
17|18|7|3700.997|30|3.0|699.99|3241.86|2|79.99|399.99|479.98|1|y|completely orderable|25052|4000|493|341|19|73|2|32
17|18|7|3724.736|30|3.0|699.99|3241.86|2|79.99|399.99|479.98|1|y|completely orderable|25052|4000|493|341|19|73|2|32
17|18|7|3744.619|30|3.0|699.99|3241.86|2|79.99|399.99|479.98|1|y|completely orderable|25052|4000|493|341|19|73|2|32
17|18|7|3759.169|30|3.0|699.99|3241.86|2|79.99|399.99|479.98|1|y|completely orderable|25052|4000|493|341|19|73|2|32
17|18|7|3780.966|30|3.0|699.99|3241.86|2|79.99|399.99|479.98|2|y|completely orderable|25052|4000|493|341|19|73|2|32
17|18|7|3800.277|30|3.0|699.99|3241.86|2|79.99|399.99|479.98|2|y|completely orderable|25052|4000|493|341|19|73|2|32
17|18|7|3807.953|30|3.0|699.99|3241.86|2|79.99|399.99|479.98|2|y|completely orderable|25052|4000|493|341|19|73|2|32
17|18|7|3818.446|30|3.0|699.99|3241.86|2|79.99|399.99|479.98|2|y|completely orderable|25052|4000|493|341|19|73|2|32
17|18|7|3835.821|30|3.0|699.99|3241.86|2|79.99|399.99|479.98|3|y|completely orderable|25052|4000|493|341|19|73|2|32
17|18|7|3854.682|30|3.0|699.99|3241.86|2|79.99|399.99|479.98|3|y|completely orderable|25052|4000|493|341|19|73|2|32
17|18|7|3874.816|30|3.0|699.99|3241.86|2|79.99|399.99|479.98|4|y|completely orderable|25052|4000|493|341|19|73|2|32
17|18|7|3903.416|30|3.0|699.99|3241.86|2|79.99|399.99|479.98|5|y|completely orderable|25052|4000|493|341|19|73|2|32
18|18|7|0.0|1|59.95|59.95|59.95|1|59.95|59.95|59.95|?|?|?|25053|8500|562|223|33|50|1|5
18|18|7|0.0|2|59.95|59.95|119.9|2|59.95|59.95|119.9|?|?|?|25053|8500|562|223|33|50|1|5
18|18|7|0.0|3|19.99|59.95|139.89|3|19.99|59.95|139.89|?|?|?|25053|8500|562|223|33|50|1|5
18|18|7|3.948|3|19.99|59.95|139.89|3|19.99|59.95|139.89|1|y|completely orderable|25053|8500|562|223|33|50|1|5
18|18|7|59.917|3|19.99|59.95|139.89|3|19.99|59.95|139.89|?|y|completely orderable|25053|8500|562|223|33|50|1|5
18|18|7|64.174|3|19.99|59.95|139.89|3|19.99|59.95|139.89|4|y|completely orderable|25053|8500|562|223|33|50|1|5
18|18|7|71.873|3|19.99|59.95|139.89|3|19.99|59.95|139.89|?|y|completely orderable|25053|8500|562|223|33|50|1|5
19|18|7|13.42|3|19.99|19.99|59.97|1|19.99|19.99|19.99|?|?|?|25054|0|384|178|9|35|2|7
19|18|7|74.687|7|14.0|19.99|115.97|1|19.99|19.99|19.99|1|y|completely orderable|25054|0|384|178|9|35|2|7
19|18|7|88.072|7|14.0|19.99|115.97|1|19.99|19.99|19.99|3|y|completely orderable|25054|0|384|178|9|35|2|7
19|18|7|105.699|7|14.0|19.99|115.97|1|19.99|19.99|19.99|4|y|completely orderable|25054|0|384|178|9|35|2|7
19|18|7|136.511|10|14.0|19.99|175.94|2|19.99|19.99|39.98|?|?|?|25054|0|384|178|9|35|2|7
19|18|7|154.216|10|14.0|19.99|175.94|2|19.99|19.99|39.98|1|y|completely orderable|25054|0|384|178|9|35|2|7
19|18|7|180.298|10|14.0|19.99|175.94|2|19.99|19.99|39.98|3|y|completely orderable|25054|0|384|178|9|35|2|7
19|18|7|192.97|10|14.0|19.99|175.94|2|19.99|19.99|39.98|4|y|completely orderable|25054|0|384|178|9|35|2|7
20|18|7|36.414|3|17.99|17.99|53.97|1|17.99|17.99|17.99|?|?|?|?|?|?|?|?|?|?|?
20|18|7|98.887|6|17.99|17.99|107.94|2|17.99|17.99|35.98|?|?|?|?|?|?|?|?|?|?|?
20|18|7|187.443|9|17.99|59.99|287.91|3|17.99|59.99|95.97|?|?|?|?|?|?|?|?|?|?|?
20|18|7|224.931|12|17.99|59.99|407.88|4|17.99|59.99|135.96|?|?|?|?|?|?|?|?|?|?|?
20|18|7|300.204|15|17.99|139.99|827.85|5|17.99|139.99|275.95|?|?|?|?|?|?|?|?|?|?|?
20|18|7|426.87|18|17.99|139.99|1247.82|6|17.99|139.99|415.94|?|?|?|?|?|?|?|?|?|?|?
20|18|7|528.401|22|17.99|139.99|1777.78|7|17.99|139.99|545.93|?|?|?|?|?|?|?|?|?|?|?
20|18|7|602.474|25|17.99|139.99|1943.75|8|17.99|139.99|563.92|?|?|?|?|?|?|?|?|?|?|?
